idciudad,Ciudad,idsexo,sexo,edad,Cantidad
9,Pando,1,Masculino,78,6
1,Chuquisaca,2,Femenino,49,52
4,Oruro,2,Femenino,76,12
6,Tarija,1,Masculino,88,44
1,Chuquisaca,1,Masculino,102,2
4,Oruro,2,Femenino,56,23
3,Cochabamba,2,Femenino,91,124
1,Chuquisaca,1,Masculino,50,64
9,Pando,1,Masculino,58,23
9,Pando,2,Femenino,48,13
5,Potosí,1,Masculino,103,3
7,Santa Cruz,1,Masculino,31,1480
6,Tarija,1,Masculino,97,10
5,Potosí,2,Femenino,70,50
1,Chuquisaca,1,Masculino,76,26
8,Beni,2,Femenino,88,10
9,Pando,1,Masculino,84,6
4,Oruro,2,Femenino,82,26
5,Potosí,2,Femenino,73,63
1,Chuquisaca,1,Masculino,73,26
9,Pando,2,Femenino,22,12
8,Beni,2,Femenino,91,17
9,Pando,1,Masculino,81,5
4,Oruro,2,Femenino,85,22
6,Tarija,2,Femenino,87,57
9,Pando,2,Femenino,25,49
5,Potosí,2,Femenino,47,61
5,Potosí,2,Femenino,50,73
8,Beni,2,Femenino,26,197
9,Pando,1,Masculino,53,13
8,Beni,1,Masculino,56,82
4,Oruro,1,Masculino,23,111
1,Chuquisaca,2,Femenino,105,3
5,Potosí,1,Masculino,81,59
5,Potosí,1,Masculino,78,57
7,Santa Cruz,1,Masculino,36,1034
5,Potosí,2,Femenino,22,22
3,Cochabamba,1,Masculino,35,604
9,Pando,2,Femenino,23,29
3,Cochabamba,1,Masculino,32,816
8,Beni,1,Masculino,82,19
1,Chuquisaca,2,Femenino,85,59
1,Chuquisaca,2,Femenino,82,61
7,Santa Cruz,1,Masculino,59,309
2,La Paz,2,Femenino,28,638
6,Tarija,1,Masculino,31,296
4,Oruro,1,Masculino,52,28
2,La Paz,1,Masculino,64,1
4,Oruro,1,Masculino,26,223
7,Santa Cruz,2,Femenino,26,1169
1,Chuquisaca,1,Masculino,22,58
3,Cochabamba,2,Femenino,28,679
3,Cochabamba,1,Masculino,64,1
2,La Paz,1,Masculino,58,179
4,Oruro,1,Masculino,29,158
7,Santa Cruz,2,Femenino,29,1070
3,Cochabamba,2,Femenino,31,657
2,La Paz,1,Masculino,87,62
6,Tarija,1,Masculino,34,273
7,Santa Cruz,1,Masculino,91,30
3,Cochabamba,1,Masculino,90,58
4,Oruro,2,Femenino,22,21
3,Cochabamba,2,Femenino,34,497
5,Potosí,1,Masculino,46,96
2,La Paz,2,Femenino,34,486
4,Oruro,1,Masculino,81,10
7,Santa Cruz,2,Femenino,32,913
2,La Paz,2,Femenino,31,600
3,Cochabamba,1,Masculino,87,37
9,Pando,1,Masculino,21,9
6,Tarija,1,Masculino,40,204
4,Oruro,1,Masculino,55,26
8,Beni,1,Masculino,24,322
7,Santa Cruz,2,Femenino,35,667
2,La Paz,1,Masculino,93,44
3,Cochabamba,1,Masculino,93,30
3,Cochabamba,2,Femenino,57,154
5,Potosí,1,Masculino,23,140
6,Tarija,1,Masculino,37,188
2,La Paz,2,Femenino,57,189
4,Oruro,1,Masculino,58,26
2,La Paz,1,Masculino,90,82
8,Beni,1,Masculino,21,32
7,Santa Cruz,1,Masculino,88,41
