idciudadvotacion,NombreCiudad,idProvincia,NombreProvincia,idmun,NombreMunicipio,idpersona,idsexo,Des_sexo,edad
2,La Paz,1,Murillo,5,El Alto,914412,1,Masculino,37
2,La Paz,1,Murillo,5,El Alto,915465,2,Femenino,47
2,La Paz,1,Murillo,5,El Alto,1990677,1,Masculino,38
2,La Paz,1,Murillo,5,El Alto,2163804,2,Femenino,24
2,La Paz,1,Murillo,5,El Alto,2325630,1,Masculino,32
2,La Paz,1,Murillo,5,El Alto,2428595,2,Femenino,41
2,La Paz,1,Murillo,5,El Alto,2486656,2,Femenino,58
2,La Paz,1,Murillo,5,El Alto,2882572,1,Masculino,26
2,La Paz,1,Murillo,5,El Alto,8452368,2,Femenino,27
2,La Paz,1,Murillo,5,El Alto,10823618,2,Femenino,32
2,La Paz,1,Murillo,5,El Alto,10944064,2,Femenino,25
2,La Paz,1,Murillo,5,El Alto,132268,2,Femenino,24
2,La Paz,1,Murillo,5,El Alto,2458026,2,Femenino,32
2,La Paz,1,Murillo,5,El Alto,10921017,2,Femenino,29
2,La Paz,1,Murillo,5,El Alto,11194534,1,Masculino,22
2,La Paz,1,Murillo,5,El Alto,1219747,2,Femenino,47
2,La Paz,1,Murillo,5,El Alto,1289472,2,Femenino,49
2,La Paz,1,Murillo,5,El Alto,1304865,1,Masculino,33
2,La Paz,1,Murillo,5,El Alto,1675581,1,Masculino,32
2,La Paz,1,Murillo,5,El Alto,2314934,1,Masculino,26
2,La Paz,1,Murillo,5,El Alto,10476684,2,Femenino,25
2,La Paz,1,Murillo,5,El Alto,10764222,1,Masculino,28
2,La Paz,1,Murillo,5,El Alto,886136,2,Femenino,43
2,La Paz,1,Murillo,5,El Alto,9064197,2,Femenino,26
2,La Paz,1,Murillo,5,El Alto,10416520,1,Masculino,27
2,La Paz,1,Murillo,5,El Alto,11970276,1,Masculino,28
2,La Paz,1,Murillo,5,El Alto,112279,2,Femenino,27
2,La Paz,1,Murillo,5,El Alto,1044721,1,Masculino,33
2,La Paz,1,Murillo,5,El Alto,1063538,1,Masculino,45
2,La Paz,1,Murillo,5,El Alto,1678322,2,Femenino,30
2,La Paz,1,Murillo,5,El Alto,1680694,1,Masculino,33
2,La Paz,1,Murillo,5,El Alto,2290148,1,Masculino,27
2,La Paz,1,Murillo,5,El Alto,8407079,1,Masculino,27
2,La Paz,1,Murillo,5,El Alto,12495852,1,Masculino,35
2,La Paz,1,Murillo,5,El Alto,3863796,1,Masculino,27
2,La Paz,1,Murillo,5,El Alto,9171021,1,Masculino,23
2,La Paz,1,Murillo,5,El Alto,10705276,1,Masculino,25
2,La Paz,1,Murillo,5,El Alto,11985634,1,Masculino,49
2,La Paz,1,Murillo,5,El Alto,1368541,1,Masculino,82
2,La Paz,1,Murillo,5,El Alto,1647488,2,Femenino,90
2,La Paz,1,Murillo,5,El Alto,1674146,1,Masculino,34
2,La Paz,1,Murillo,5,El Alto,1890019,2,Femenino,90
2,La Paz,1,Murillo,5,El Alto,2164704,1,Masculino,30
2,La Paz,1,Murillo,5,El Alto,2314516,1,Masculino,30
2,La Paz,1,Murillo,5,El Alto,2625317,2,Femenino,43
2,La Paz,1,Murillo,5,El Alto,2668251,1,Masculino,41
2,La Paz,1,Murillo,5,El Alto,2843164,1,Masculino,50
2,La Paz,1,Murillo,5,El Alto,9555341,1,Masculino,54
2,La Paz,4,Camacho,3,Puerto Mayor de Carabuco,91859,1,Masculino,24
2,La Paz,4,Camacho,3,Puerto Mayor de Carabuco,712273,1,Masculino,38
2,La Paz,1,Murillo,5,El Alto,11210513,1,Masculino,21
2,La Paz,1,Murillo,5,El Alto,172479,2,Femenino,24
2,La Paz,1,Murillo,5,El Alto,234952,1,Masculino,23
2,La Paz,1,Murillo,5,El Alto,1197724,1,Masculino,42
2,La Paz,1,Murillo,5,El Alto,1197923,2,Femenino,50
2,La Paz,1,Murillo,5,El Alto,1198724,1,Masculino,36
2,La Paz,1,Murillo,5,El Alto,1210474,2,Femenino,81
2,La Paz,1,Murillo,5,El Alto,1300589,1,Masculino,32
2,La Paz,1,Murillo,5,El Alto,1752426,1,Masculino,82
2,La Paz,1,Murillo,5,El Alto,2014677,1,Masculino,71
2,La Paz,1,Murillo,5,El Alto,2152403,1,Masculino,26
2,La Paz,1,Murillo,5,El Alto,2268338,2,Femenino,51
2,La Paz,1,Murillo,5,El Alto,2295195,1,Masculino,27
2,La Paz,1,Murillo,5,El Alto,2578457,2,Femenino,30
2,La Paz,1,Murillo,5,El Alto,2860012,1,Masculino,29
2,La Paz,1,Murillo,5,El Alto,2184102,1,Masculino,28
2,La Paz,1,Murillo,5,El Alto,2199125,2,Femenino,36
2,La Paz,1,Murillo,5,El Alto,2610821,1,Masculino,30
2,La Paz,1,Murillo,5,El Alto,2783944,2,Femenino,30
2,La Paz,1,Murillo,5,El Alto,10112513,1,Masculino,29
2,La Paz,1,Murillo,5,El Alto,10450071,2,Femenino,23
2,La Paz,1,Murillo,5,El Alto,1181820,2,Femenino,39
2,La Paz,1,Murillo,5,El Alto,1185464,2,Femenino,35
2,La Paz,1,Murillo,5,El Alto,1204750,1,Masculino,85
2,La Paz,1,Murillo,5,El Alto,2159700,2,Femenino,27
2,La Paz,1,Murillo,5,El Alto,95291,2,Femenino,57
2,La Paz,1,Murillo,5,El Alto,103398,2,Femenino,27
2,La Paz,1,Murillo,5,El Alto,1259649,2,Femenino,35
2,La Paz,1,Murillo,5,El Alto,2068248,2,Femenino,28
2,La Paz,1,Murillo,5,El Alto,2180275,2,Femenino,26
2,La Paz,1,Murillo,5,El Alto,2193577,1,Masculino,24
2,La Paz,1,Murillo,5,El Alto,2630473,1,Masculino,38
2,La Paz,1,Murillo,5,El Alto,2889468,2,Femenino,26
2,La Paz,1,Murillo,5,El Alto,8628696,1,Masculino,25
2,La Paz,1,Murillo,5,El Alto,10307245,1,Masculino,26
2,La Paz,1,Murillo,5,El Alto,10415758,1,Masculino,42
2,La Paz,1,Murillo,5,El Alto,1213759,2,Femenino,85
2,La Paz,1,Murillo,5,El Alto,1218954,1,Masculino,29
2,La Paz,1,Murillo,5,El Alto,1225423,2,Femenino,37
2,La Paz,1,Murillo,5,El Alto,1822140,1,Masculino,96
2,La Paz,1,Murillo,5,El Alto,1831519,2,Femenino,70
2,La Paz,1,Murillo,5,El Alto,1832585,1,Masculino,57
2,La Paz,1,Murillo,5,El Alto,2163242,1,Masculino,27
2,La Paz,1,Murillo,5,El Alto,2274433,1,Masculino,29
2,La Paz,1,Murillo,5,El Alto,2320255,1,Masculino,25
2,La Paz,1,Murillo,5,El Alto,2619411,2,Femenino,35
2,La Paz,1,Murillo,5,El Alto,2867423,1,Masculino,32
2,La Paz,1,Murillo,5,El Alto,10491251,1,Masculino,28
2,La Paz,1,Murillo,5,El Alto,11340726,2,Femenino,34
2,La Paz,1,Murillo,5,El Alto,11959154,2,Femenino,29
2,La Paz,1,Murillo,5,El Alto,1211436,2,Femenino,32
2,La Paz,1,Murillo,5,El Alto,1216918,1,Masculino,48
2,La Paz,1,Murillo,5,El Alto,2319940,1,Masculino,28
2,La Paz,1,Murillo,5,El Alto,2473009,1,Masculino,43
2,La Paz,1,Murillo,5,El Alto,8835677,2,Femenino,22
2,La Paz,1,Murillo,5,El Alto,2490204,1,Masculino,46
2,La Paz,1,Murillo,5,El Alto,2765177,2,Femenino,37
2,La Paz,1,Murillo,5,El Alto,2870329,1,Masculino,35
2,La Paz,1,Murillo,5,El Alto,9147384,1,Masculino,34
2,La Paz,1,Murillo,5,El Alto,11303928,2,Femenino,26
2,La Paz,1,Murillo,5,El Alto,154572,2,Femenino,23
2,La Paz,1,Murillo,5,El Alto,1657522,1,Masculino,30
2,La Paz,1,Murillo,5,El Alto,1667435,1,Masculino,53
2,La Paz,1,Murillo,5,El Alto,1972318,2,Femenino,36
2,La Paz,1,Murillo,5,El Alto,2112002,2,Femenino,26
2,La Paz,1,Murillo,5,El Alto,2122881,2,Femenino,26
2,La Paz,1,Murillo,5,El Alto,2157409,2,Femenino,25
2,La Paz,1,Murillo,5,El Alto,2709759,1,Masculino,27
2,La Paz,1,Murillo,5,El Alto,1177657,1,Masculino,37
2,La Paz,1,Murillo,5,El Alto,1407921,2,Femenino,43
2,La Paz,1,Murillo,5,El Alto,1409176,2,Femenino,49
2,La Paz,1,Murillo,5,El Alto,1422763,2,Femenino,87
2,La Paz,1,Murillo,5,El Alto,1696234,2,Femenino,51
2,La Paz,1,Murillo,5,El Alto,2083326,2,Femenino,27
2,La Paz,1,Murillo,5,El Alto,2157087,2,Femenino,32
2,La Paz,1,Murillo,5,El Alto,2463438,1,Masculino,31
2,La Paz,1,Murillo,5,El Alto,2663761,2,Femenino,37
2,La Paz,1,Murillo,5,El Alto,2866792,2,Femenino,26
2,La Paz,1,Murillo,3,Mecapaca,1852387,2,Femenino,103
2,La Paz,1,Murillo,3,Mecapaca,133343,2,Femenino,23
2,La Paz,1,Murillo,3,Mecapaca,1854645,1,Masculino,33
2,La Paz,1,Murillo,3,Mecapaca,1859750,2,Femenino,94
2,La Paz,1,Murillo,5,El Alto,160894,2,Femenino,26
2,La Paz,1,Murillo,5,El Alto,948904,2,Femenino,83
2,La Paz,1,Murillo,5,El Alto,949086,2,Femenino,41
2,La Paz,1,Murillo,5,El Alto,951283,1,Masculino,58
2,La Paz,1,Murillo,5,El Alto,1092321,1,Masculino,78
2,La Paz,1,Murillo,5,El Alto,1367766,2,Femenino,77
